source,target,value
CM2100 Advanced Software Design and Development,CM3111 Big Data Analytics (see comment),1
CM2112 Real World Project and Professional Skills,CM3111 Big Data Analytics (see comment),1
CM2103 Routing and Switching,CM3111 Big Data Analytics (see comment),1
CM2110 Internet of Things,CM3111 Big Data Analytics (see comment),1
CM2104 Dynamic Web Development,CM3111 Big Data Analytics (see comment),1
CM2100 Advanced Software Design and Development,CM3115 C++ for Graphics (see comment),1
CM2112 Real World Project and Professional Skills,CM3115 C++ for Graphics (see comment),1
CM2103 Routing and Switching,CM3115 C++ for Graphics (see comment),1
CM2110 Internet of Things,CM3115 C++ for Graphics (see comment),1
CM2104 Dynamic Web Development,CM3115 C++ for Graphics (see comment),1
CM2100 Advanced Software Design and Development,CM3113 Concurrent Programming,1
CM2112 Real World Project and Professional Skills,CM3113 Concurrent Programming,1
CM2103 Routing and Switching,CM3113 Concurrent Programming,1
CM2110 Internet of Things,CM3113 Concurrent Programming,1
CM2104 Dynamic Web Development,CM3113 Concurrent Programming,1
CM2100 Advanced Software Design and Development,CM3116 Graphics Development (see comment),1
CM2112 Real World Project and Professional Skills,CM3116 Graphics Development (see comment),1
CM2103 Routing and Switching,CM3116 Graphics Development (see comment),1
CM2110 Internet of Things,CM3116 Graphics Development (see comment),1
CM2104 Dynamic Web Development,CM3116 Graphics Development (see comment),1
CM2100 Advanced Software Design and Development,CM3038 Artificial Intellikgence for Problem Solving,1
CM2112 Real World Project and Professional Skills,CM3038 Artificial Intellikgence for Problem Solving,1
CM2103 Routing and Switching,CM3038 Artificial Intellikgence for Problem Solving,1
CM2110 Internet of Things,CM3038 Artificial Intellikgence for Problem Solving,1
CM2104 Dynamic Web Development,CM3038 Artificial Intellikgence for Problem Solving,1
CM2101 Database Systems,CM3104 Computer Security and Cryptography,1
CM2110 Internet of Things,CM3104 Computer Security and Cryptography,1
CM2101 Database Systems,CM3038 Artificial Intellikgence for Problem Solving,1
CM2110 Internet of Things,CM3038 Artificial Intellikgence for Problem Solving,1
CM2101 Database Systems,CM3112 3D Modelling (see comment),1
CM2110 Internet of Things,CM3112 3D Modelling (see comment),1
CM3102 Operating Systems,CM4103 Ethical Hacking (see comment),1
CM3104 Computer Security and Cryptography,CM4103 Ethical Hacking (see comment),1
CM3105 Web Security (see comment),CM4103 Ethical Hacking (see comment),1
CM3108 Software Engineering And Project Management,CM4103 Ethical Hacking (see comment),1
CM3110 Mobile App Development,CM4103 Ethical Hacking (see comment),1
CM3111 Big Data Analytics (see comment),CM4103 Ethical Hacking (see comment),1
CM3115 C++ for Graphics (see comment),CM4103 Ethical Hacking (see comment),1
CM3113 Concurrent Programming,CM4103 Ethical Hacking (see comment),1
CM3116 Graphics Development (see comment),CM4103 Ethical Hacking (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4103 Ethical Hacking (see comment),1
CM3112 3D Modelling (see comment),CM4103 Ethical Hacking (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3105 Web Security (see comment),CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3110 Mobile App Development,CM4105 Honours Individual Project,1
CM3111 Big Data Analytics (see comment),CM4105 Honours Individual Project,1
CM3115 C++ for Graphics (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3116 Graphics Development (see comment),CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3112 3D Modelling (see comment),CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4106 Languages and Compilers,1
CM3104 Computer Security and Cryptography,CM4106 Languages and Compilers,1
CM3105 Web Security (see comment),CM4106 Languages and Compilers,1
CM3108 Software Engineering And Project Management,CM4106 Languages and Compilers,1
CM3110 Mobile App Development,CM4106 Languages and Compilers,1
CM3111 Big Data Analytics (see comment),CM4106 Languages and Compilers,1
CM3115 C++ for Graphics (see comment),CM4106 Languages and Compilers,1
CM3113 Concurrent Programming,CM4106 Languages and Compilers,1
CM3116 Graphics Development (see comment),CM4106 Languages and Compilers,1
CM3038 Artificial Intellikgence for Problem Solving,CM4106 Languages and Compilers,1
CM3112 3D Modelling (see comment),CM4106 Languages and Compilers,1
CM3102 Operating Systems,CM4107 Advanced Artificial Intelligence,1
CM3104 Computer Security and Cryptography,CM4107 Advanced Artificial Intelligence,1
CM3105 Web Security (see comment),CM4107 Advanced Artificial Intelligence,1
CM3108 Software Engineering And Project Management,CM4107 Advanced Artificial Intelligence,1
CM3110 Mobile App Development,CM4107 Advanced Artificial Intelligence,1
CM3111 Big Data Analytics (see comment),CM4107 Advanced Artificial Intelligence,1
CM3115 C++ for Graphics (see comment),CM4107 Advanced Artificial Intelligence,1
CM3113 Concurrent Programming,CM4107 Advanced Artificial Intelligence,1
CM3116 Graphics Development (see comment),CM4107 Advanced Artificial Intelligence,1
CM3038 Artificial Intellikgence for Problem Solving,CM4107 Advanced Artificial Intelligence,1
CM3112 3D Modelling (see comment),CM4107 Advanced Artificial Intelligence,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3105 Web Security (see comment),CM4108 Cloud Computing (see comment),1
CM3108 Software Engineering And Project Management,CM4108 Cloud Computing (see comment),1
CM3110 Mobile App Development,CM4108 Cloud Computing (see comment),1
CM3111 Big Data Analytics (see comment),CM4108 Cloud Computing (see comment),1
CM3115 C++ for Graphics (see comment),CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3116 Graphics Development (see comment),CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3112 3D Modelling (see comment),CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4110 Human Computer Interaction,1
CM3104 Computer Security and Cryptography,CM4110 Human Computer Interaction,1
CM3105 Web Security (see comment),CM4110 Human Computer Interaction,1
CM3108 Software Engineering And Project Management,CM4110 Human Computer Interaction,1
CM3110 Mobile App Development,CM4110 Human Computer Interaction,1
CM3111 Big Data Analytics (see comment),CM4110 Human Computer Interaction,1
CM3115 C++ for Graphics (see comment),CM4110 Human Computer Interaction,1
CM3113 Concurrent Programming,CM4110 Human Computer Interaction,1
CM3116 Graphics Development (see comment),CM4110 Human Computer Interaction,1
CM3038 Artificial Intellikgence for Problem Solving,CM4110 Human Computer Interaction,1
CM3112 3D Modelling (see comment),CM4110 Human Computer Interaction,1
CM3102 Operating Systems,CM4114 Games Development (see comment),1
CM3104 Computer Security and Cryptography,CM4114 Games Development (see comment),1
CM3105 Web Security (see comment),CM4114 Games Development (see comment),1
CM3108 Software Engineering And Project Management,CM4114 Games Development (see comment),1
CM3110 Mobile App Development,CM4114 Games Development (see comment),1
CM3111 Big Data Analytics (see comment),CM4114 Games Development (see comment),1
CM3115 C++ for Graphics (see comment),CM4114 Games Development (see comment),1
CM3113 Concurrent Programming,CM4114 Games Development (see comment),1
CM3116 Graphics Development (see comment),CM4114 Games Development (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4114 Games Development (see comment),1
CM3112 3D Modelling (see comment),CM4114 Games Development (see comment),1
CM3102 Operating Systems,CM4025 Enterprise Web Systems,1
CM3104 Computer Security and Cryptography,CM4025 Enterprise Web Systems,1
CM3105 Web Security (see comment),CM4025 Enterprise Web Systems,1
CM3108 Software Engineering And Project Management,CM4025 Enterprise Web Systems,1
CM3110 Mobile App Development,CM4025 Enterprise Web Systems,1
CM3111 Big Data Analytics (see comment),CM4025 Enterprise Web Systems,1
CM3115 C++ for Graphics (see comment),CM4025 Enterprise Web Systems,1
CM3113 Concurrent Programming,CM4025 Enterprise Web Systems,1
CM3116 Graphics Development (see comment),CM4025 Enterprise Web Systems,1
CM3038 Artificial Intellikgence for Problem Solving,CM4025 Enterprise Web Systems,1
CM3112 3D Modelling (see comment),CM4025 Enterprise Web Systems,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3110 Mobile App Development,CM4105 Honours Individual Project,1
CM3111 Big Data Analytics (see comment),CM4105 Honours Individual Project,1
CM3115 C++ for Graphics (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3116 Graphics Development (see comment),CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3112 3D Modelling (see comment),CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4106 Languages and Compilers,1
CM3108 Software Engineering And Project Management,CM4106 Languages and Compilers,1
CM3110 Mobile App Development,CM4106 Languages and Compilers,1
CM3111 Big Data Analytics (see comment),CM4106 Languages and Compilers,1
CM3115 C++ for Graphics (see comment),CM4106 Languages and Compilers,1
CM3113 Concurrent Programming,CM4106 Languages and Compilers,1
CM3116 Graphics Development (see comment),CM4106 Languages and Compilers,1
CM3038 Artificial Intellikgence for Problem Solving,CM4106 Languages and Compilers,1
CM3112 3D Modelling (see comment),CM4106 Languages and Compilers,1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3108 Software Engineering And Project Management,CM4108 Cloud Computing (see comment),1
CM3110 Mobile App Development,CM4108 Cloud Computing (see comment),1
CM3111 Big Data Analytics (see comment),CM4108 Cloud Computing (see comment),1
CM3115 C++ for Graphics (see comment),CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3116 Graphics Development (see comment),CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3112 3D Modelling (see comment),CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4110 Human Computer Interaction,1
CM3108 Software Engineering And Project Management,CM4110 Human Computer Interaction,1
CM3110 Mobile App Development,CM4110 Human Computer Interaction,1
CM3111 Big Data Analytics (see comment),CM4110 Human Computer Interaction,1
CM3115 C++ for Graphics (see comment),CM4110 Human Computer Interaction,1
CM3113 Concurrent Programming,CM4110 Human Computer Interaction,1
CM3116 Graphics Development (see comment),CM4110 Human Computer Interaction,1
CM3038 Artificial Intellikgence for Problem Solving,CM4110 Human Computer Interaction,1
CM3112 3D Modelling (see comment),CM4110 Human Computer Interaction,1
CM3104 Computer Security and Cryptography,CM4114 Games Development (see comment),1
CM3108 Software Engineering And Project Management,CM4114 Games Development (see comment),1
CM3110 Mobile App Development,CM4114 Games Development (see comment),1
CM3111 Big Data Analytics (see comment),CM4114 Games Development (see comment),1
CM3115 C++ for Graphics (see comment),CM4114 Games Development (see comment),1
CM3113 Concurrent Programming,CM4114 Games Development (see comment),1
CM3116 Graphics Development (see comment),CM4114 Games Development (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4114 Games Development (see comment),1
CM3112 3D Modelling (see comment),CM4114 Games Development (see comment),1
CM3104 Computer Security and Cryptography,CM4025 Enterprise Web Systems,1
CM3108 Software Engineering And Project Management,CM4025 Enterprise Web Systems,1
CM3110 Mobile App Development,CM4025 Enterprise Web Systems,1
CM3111 Big Data Analytics (see comment),CM4025 Enterprise Web Systems,1
CM3115 C++ for Graphics (see comment),CM4025 Enterprise Web Systems,1
CM3113 Concurrent Programming,CM4025 Enterprise Web Systems,1
CM3116 Graphics Development (see comment),CM4025 Enterprise Web Systems,1
CM3038 Artificial Intellikgence for Problem Solving,CM4025 Enterprise Web Systems,1
CM3112 3D Modelling (see comment),CM4025 Enterprise Web Systems,1
CM3102 Operating Systems,CM4103 Ethical Hacking (see comment),1
CM3105 Web Security (see comment),CM4103 Ethical Hacking (see comment),1
CM3108 Software Engineering And Project Management,CM4103 Ethical Hacking (see comment),1
CM3110 Mobile App Development,CM4103 Ethical Hacking (see comment),1
CM3111 Big Data Analytics (see comment),CM4103 Ethical Hacking (see comment),1
CM3115 C++ for Graphics (see comment),CM4103 Ethical Hacking (see comment),1
CM3113 Concurrent Programming,CM4103 Ethical Hacking (see comment),1
CM3116 Graphics Development (see comment),CM4103 Ethical Hacking (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4103 Ethical Hacking (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3105 Web Security (see comment),CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3110 Mobile App Development,CM4105 Honours Individual Project,1
CM3111 Big Data Analytics (see comment),CM4105 Honours Individual Project,1
CM3115 C++ for Graphics (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3116 Graphics Development (see comment),CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3105 Web Security (see comment),CM4108 Cloud Computing (see comment),1
CM3108 Software Engineering And Project Management,CM4108 Cloud Computing (see comment),1
CM3110 Mobile App Development,CM4108 Cloud Computing (see comment),1
CM3111 Big Data Analytics (see comment),CM4108 Cloud Computing (see comment),1
CM3115 C++ for Graphics (see comment),CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3116 Graphics Development (see comment),CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4114 Games Development (see comment),1
CM3105 Web Security (see comment),CM4114 Games Development (see comment),1
CM3108 Software Engineering And Project Management,CM4114 Games Development (see comment),1
CM3110 Mobile App Development,CM4114 Games Development (see comment),1
CM3111 Big Data Analytics (see comment),CM4114 Games Development (see comment),1
CM3115 C++ for Graphics (see comment),CM4114 Games Development (see comment),1
CM3113 Concurrent Programming,CM4114 Games Development (see comment),1
CM3116 Graphics Development (see comment),CM4114 Games Development (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4114 Games Development (see comment),1
CM3102 Operating Systems,CM4103 Ethical Hacking (see comment),1
CM3104 Computer Security and Cryptography,CM4103 Ethical Hacking (see comment),1
CM3110 Mobile App Development,CM4103 Ethical Hacking (see comment),1
CM3111 Big Data Analytics (see comment),CM4103 Ethical Hacking (see comment),1
CM3115 C++ for Graphics (see comment),CM4103 Ethical Hacking (see comment),1
CM3113 Concurrent Programming,CM4103 Ethical Hacking (see comment),1
CM3116 Graphics Development (see comment),CM4103 Ethical Hacking (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3110 Mobile App Development,CM4105 Honours Individual Project,1
CM3111 Big Data Analytics (see comment),CM4105 Honours Individual Project,1
CM3115 C++ for Graphics (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3116 Graphics Development (see comment),CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4106 Languages and Compilers,1
CM3104 Computer Security and Cryptography,CM4106 Languages and Compilers,1
CM3110 Mobile App Development,CM4106 Languages and Compilers,1
CM3111 Big Data Analytics (see comment),CM4106 Languages and Compilers,1
CM3115 C++ for Graphics (see comment),CM4106 Languages and Compilers,1
CM3113 Concurrent Programming,CM4106 Languages and Compilers,1
CM3116 Graphics Development (see comment),CM4106 Languages and Compilers,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3110 Mobile App Development,CM4108 Cloud Computing (see comment),1
CM3111 Big Data Analytics (see comment),CM4108 Cloud Computing (see comment),1
CM3115 C++ for Graphics (see comment),CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3116 Graphics Development (see comment),CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4110 Human Computer Interaction,1
CM3104 Computer Security and Cryptography,CM4110 Human Computer Interaction,1
CM3110 Mobile App Development,CM4110 Human Computer Interaction,1
CM3111 Big Data Analytics (see comment),CM4110 Human Computer Interaction,1
CM3115 C++ for Graphics (see comment),CM4110 Human Computer Interaction,1
CM3113 Concurrent Programming,CM4110 Human Computer Interaction,1
CM3116 Graphics Development (see comment),CM4110 Human Computer Interaction,1
CM3102 Operating Systems,CM4114 Games Development (see comment),1
CM3104 Computer Security and Cryptography,CM4114 Games Development (see comment),1
CM3110 Mobile App Development,CM4114 Games Development (see comment),1
CM3111 Big Data Analytics (see comment),CM4114 Games Development (see comment),1
CM3115 C++ for Graphics (see comment),CM4114 Games Development (see comment),1
CM3113 Concurrent Programming,CM4114 Games Development (see comment),1
CM3116 Graphics Development (see comment),CM4114 Games Development (see comment),1
CM3102 Operating Systems,CM4025 Enterprise Web Systems,1
CM3104 Computer Security and Cryptography,CM4025 Enterprise Web Systems,1
CM3110 Mobile App Development,CM4025 Enterprise Web Systems,1
CM3111 Big Data Analytics (see comment),CM4025 Enterprise Web Systems,1
CM3115 C++ for Graphics (see comment),CM4025 Enterprise Web Systems,1
CM3113 Concurrent Programming,CM4025 Enterprise Web Systems,1
CM3116 Graphics Development (see comment),CM4025 Enterprise Web Systems,1
CM3102 Operating Systems,CM4103 Ethical Hacking (see comment),1
CM3104 Computer Security and Cryptography,CM4103 Ethical Hacking (see comment),1
CM3113 Concurrent Programming,CM4103 Ethical Hacking (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4103 Ethical Hacking (see comment),1
CM3112 3D Modelling (see comment),CM4103 Ethical Hacking (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3112 3D Modelling (see comment),CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4106 Languages and Compilers,1
CM3104 Computer Security and Cryptography,CM4106 Languages and Compilers,1
CM3113 Concurrent Programming,CM4106 Languages and Compilers,1
CM3038 Artificial Intellikgence for Problem Solving,CM4106 Languages and Compilers,1
CM3112 3D Modelling (see comment),CM4106 Languages and Compilers,1
CM3102 Operating Systems,CM4107 Advanced Artificial Intelligence,1
CM3104 Computer Security and Cryptography,CM4107 Advanced Artificial Intelligence,1
CM3113 Concurrent Programming,CM4107 Advanced Artificial Intelligence,1
CM3038 Artificial Intellikgence for Problem Solving,CM4107 Advanced Artificial Intelligence,1
CM3112 3D Modelling (see comment),CM4107 Advanced Artificial Intelligence,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3112 3D Modelling (see comment),CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4114 Games Development (see comment),1
CM3104 Computer Security and Cryptography,CM4114 Games Development (see comment),1
CM3113 Concurrent Programming,CM4114 Games Development (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4114 Games Development (see comment),1
CM3112 3D Modelling (see comment),CM4114 Games Development (see comment),1
CM3104 Computer Security and Cryptography,CM4103 Ethical Hacking (see comment),1
CM3108 Software Engineering And Project Management,CM4103 Ethical Hacking (see comment),1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4107 Advanced Artificial Intelligence,1
CM3108 Software Engineering And Project Management,CM4107 Advanced Artificial Intelligence,1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3108 Software Engineering And Project Management,CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4110 Human Computer Interaction,1
CM3108 Software Engineering And Project Management,CM4110 Human Computer Interaction,1
CM3104 Computer Security and Cryptography,CM4114 Games Development (see comment),1
CM3108 Software Engineering And Project Management,CM4114 Games Development (see comment),1
CM3104 Computer Security and Cryptography,CM4025 Enterprise Web Systems,1
CM3108 Software Engineering And Project Management,CM4025 Enterprise Web Systems,1
CM3102 Operating Systems,CM4103 Ethical Hacking (see comment),1
CM3110 Mobile App Development,CM4103 Ethical Hacking (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3110 Mobile App Development,CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3110 Mobile App Development,CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4025 Enterprise Web Systems,1
CM3110 Mobile App Development,CM4025 Enterprise Web Systems,1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3105 Web Security (see comment),CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3115 C++ for Graphics (see comment),CM4105 Honours Individual Project,1
CM3116 Graphics Development (see comment),CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4103 Ethical Hacking (see comment),1
CM3104 Computer Security and Cryptography,CM4103 Ethical Hacking (see comment),1
CM3105 Web Security (see comment),CM4103 Ethical Hacking (see comment),1
CM3108 Software Engineering And Project Management,CM4103 Ethical Hacking (see comment),1
CM3110 Mobile App Development,CM4103 Ethical Hacking (see comment),1
CM3113 Concurrent Programming,CM4103 Ethical Hacking (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3105 Web Security (see comment),CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3110 Mobile App Development,CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3105 Web Security (see comment),CM4108 Cloud Computing (see comment),1
CM3108 Software Engineering And Project Management,CM4108 Cloud Computing (see comment),1
CM3110 Mobile App Development,CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4025 Enterprise Web Systems,1
CM3104 Computer Security and Cryptography,CM4025 Enterprise Web Systems,1
CM3105 Web Security (see comment),CM4025 Enterprise Web Systems,1
CM3108 Software Engineering And Project Management,CM4025 Enterprise Web Systems,1
CM3110 Mobile App Development,CM4025 Enterprise Web Systems,1
CM3113 Concurrent Programming,CM4025 Enterprise Web Systems,1
CM3102 Operating Systems,CM4103 Ethical Hacking (see comment),1
CM3110 Mobile App Development,CM4103 Ethical Hacking (see comment),1
CM3115 C++ for Graphics (see comment),CM4103 Ethical Hacking (see comment),1
CM3113 Concurrent Programming,CM4103 Ethical Hacking (see comment),1
CM3116 Graphics Development (see comment),CM4103 Ethical Hacking (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4103 Ethical Hacking (see comment),1
CM3102 Operating Systems,CM4105 Honours Individual Project,1
CM3110 Mobile App Development,CM4105 Honours Individual Project,1
CM3115 C++ for Graphics (see comment),CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3116 Graphics Development (see comment),CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3102 Operating Systems,CM4106 Languages and Compilers,1
CM3110 Mobile App Development,CM4106 Languages and Compilers,1
CM3115 C++ for Graphics (see comment),CM4106 Languages and Compilers,1
CM3113 Concurrent Programming,CM4106 Languages and Compilers,1
CM3116 Graphics Development (see comment),CM4106 Languages and Compilers,1
CM3038 Artificial Intellikgence for Problem Solving,CM4106 Languages and Compilers,1
CM3102 Operating Systems,CM4107 Advanced Artificial Intelligence,1
CM3110 Mobile App Development,CM4107 Advanced Artificial Intelligence,1
CM3115 C++ for Graphics (see comment),CM4107 Advanced Artificial Intelligence,1
CM3113 Concurrent Programming,CM4107 Advanced Artificial Intelligence,1
CM3116 Graphics Development (see comment),CM4107 Advanced Artificial Intelligence,1
CM3038 Artificial Intellikgence for Problem Solving,CM4107 Advanced Artificial Intelligence,1
CM3102 Operating Systems,CM4108 Cloud Computing (see comment),1
CM3110 Mobile App Development,CM4108 Cloud Computing (see comment),1
CM3115 C++ for Graphics (see comment),CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3116 Graphics Development (see comment),CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3102 Operating Systems,CM4110 Human Computer Interaction,1
CM3110 Mobile App Development,CM4110 Human Computer Interaction,1
CM3115 C++ for Graphics (see comment),CM4110 Human Computer Interaction,1
CM3113 Concurrent Programming,CM4110 Human Computer Interaction,1
CM3116 Graphics Development (see comment),CM4110 Human Computer Interaction,1
CM3038 Artificial Intellikgence for Problem Solving,CM4110 Human Computer Interaction,1
CM3102 Operating Systems,CM4114 Games Development (see comment),1
CM3110 Mobile App Development,CM4114 Games Development (see comment),1
CM3115 C++ for Graphics (see comment),CM4114 Games Development (see comment),1
CM3113 Concurrent Programming,CM4114 Games Development (see comment),1
CM3116 Graphics Development (see comment),CM4114 Games Development (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4114 Games Development (see comment),1
CM3102 Operating Systems,CM4025 Enterprise Web Systems,1
CM3110 Mobile App Development,CM4025 Enterprise Web Systems,1
CM3115 C++ for Graphics (see comment),CM4025 Enterprise Web Systems,1
CM3113 Concurrent Programming,CM4025 Enterprise Web Systems,1
CM3116 Graphics Development (see comment),CM4025 Enterprise Web Systems,1
CM3038 Artificial Intellikgence for Problem Solving,CM4025 Enterprise Web Systems,1
CM3104 Computer Security and Cryptography,CM4103 Ethical Hacking (see comment),1
CM3105 Web Security (see comment),CM4103 Ethical Hacking (see comment),1
CM3108 Software Engineering And Project Management,CM4103 Ethical Hacking (see comment),1
CM3113 Concurrent Programming,CM4103 Ethical Hacking (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4103 Ethical Hacking (see comment),1
CM3112 3D Modelling (see comment),CM4103 Ethical Hacking (see comment),1
CM3104 Computer Security and Cryptography,CM4105 Honours Individual Project,1
CM3105 Web Security (see comment),CM4105 Honours Individual Project,1
CM3108 Software Engineering And Project Management,CM4105 Honours Individual Project,1
CM3113 Concurrent Programming,CM4105 Honours Individual Project,1
CM3038 Artificial Intellikgence for Problem Solving,CM4105 Honours Individual Project,1
CM3112 3D Modelling (see comment),CM4105 Honours Individual Project,1
CM3104 Computer Security and Cryptography,CM4108 Cloud Computing (see comment),1
CM3105 Web Security (see comment),CM4108 Cloud Computing (see comment),1
CM3108 Software Engineering And Project Management,CM4108 Cloud Computing (see comment),1
CM3113 Concurrent Programming,CM4108 Cloud Computing (see comment),1
CM3038 Artificial Intellikgence for Problem Solving,CM4108 Cloud Computing (see comment),1
CM3112 3D Modelling (see comment),CM4108 Cloud Computing (see comment),1
CM3104 Computer Security and Cryptography,CM4110 Human Computer Interaction,1
CM3105 Web Security (see comment),CM4110 Human Computer Interaction,1
CM3108 Software Engineering And Project Management,CM4110 Human Computer Interaction,1
CM3113 Concurrent Programming,CM4110 Human Computer Interaction,1
CM3038 Artificial Intellikgence for Problem Solving,CM4110 Human Computer Interaction,1
CM3112 3D Modelling (see comment),CM4110 Human Computer Interaction,1
CM3104 Computer Security and Cryptography,CM4025 Enterprise Web Systems,1
CM3105 Web Security (see comment),CM4025 Enterprise Web Systems,1
